SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
   68.12,   77.71,  259.06,  178.79,  327.18,  256.50,2134407893,  583.68,   79.78,    2.51,   83.46,    5.78,  163.24,    8.29,2134391157,  171.53,    490.42,    264.80,    755.22
   69.32,   78.37,  263.14,  180.82,  332.46,  259.19,2132345646,  591.64,   77.79,    1.87,   81.35,    5.18,  159.14,    7.05,2132338351,  166.19,    491.59,    266.24,    757.83
   68.17,   77.07,  258.93,  178.18,  327.10,  255.25,2134335320,  582.34,   77.58,    2.05,   80.92,    5.35,  158.50,    7.39,2134355800,  165.89,    485.60,    262.64,    748.23
   68.72,   78.47,  260.16,  179.90,  328.89,  258.37,2132302587,  587.26,   77.68,    2.15,   81.05,    5.46,  158.73,    7.61,2132328221,  166.34,    487.62,    265.98,    753.60
   68.48,   78.19,  259.55,  179.47,  328.03,  257.65,2134424277,  585.68,   78.14,    2.34,   81.22,    5.63,  159.36,    7.98,2134434112,  167.34,    487.39,    265.63,    753.02
   69.20,   78.49,  262.57,  180.89,  331.76,  259.38,2132286342,  591.15,   80.16,    3.24,   83.40,    6.56,  163.56,    9.80,2132214784,  173.36,    495.33,    269.18,    764.51
   71.68,   82.72,  270.41,  187.54,  342.09,  270.26,2134607893,  612.34,   85.08,    5.68,   88.30,    8.97,  173.38,   14.65,2134755531,  188.03,    515.47,    284.90,    800.37
   99.18,  101.82,  358.89,  235.64,  458.06,  337.46,2132503131,  795.52,   94.75,    9.97,   98.03,   13.30,  192.78,   23.27,2132394020,  216.05,    650.84,    360.73,   1011.57
   70.40,   81.00,  266.76,  184.71,  337.16,  265.71,2134549465,  602.87,   81.78,    2.31,   85.19,    5.61,  166.97,    7.92,2134514165,  174.88,    504.13,    273.63,    777.76
   68.57,   79.27,  259.70,  180.56,  328.27,  259.83,2132275799,  588.10,   78.39,    1.97,   81.89,    5.30,  160.29,    7.27,2132300169,  167.56,    488.55,    267.10,    755.66
   69.04,   79.83,  261.28,  181.68,  330.32,  261.50,2134401233,  591.82,   78.68,    2.09,   82.11,    5.39,  160.79,    7.48,2134462483,  168.27,    491.11,    268.98,    760.09
   89.80,  128.96,  331.72,  256.15,  421.52,  385.12,2132482182,  806.64,  137.10,    2.49,  140.19,    5.80,  277.29,    8.29,2132535276,  285.58,    698.81,    393.40,   1092.21
  105.27,  166.89,  383.90,  312.93,  489.17,  479.82,2132539016,  968.99,  179.65,    2.12,  183.37,    5.45,  363.02,    7.57,2132493023,  370.58,    852.19,    487.39,   1339.58
  104.64,  164.98,  382.07,  310.27,  486.71,  475.25,2134552049,  961.96,  177.82,    2.30,  181.89,    5.65,  359.71,    7.95,2134880522,  367.65,    846.41,    483.20,   1329.61
  104.23,  162.26,  379.56,  306.59,  483.79,  468.85,2132796604,  952.64,  177.30,    2.97,  181.22,    6.29,  358.52,    9.27,2132463904,  367.78,    842.30,    478.12,   1320.42
  103.77,  162.12,  378.64,  305.79,  482.41,  467.92,2132426664,  950.33,  181.74,    3.21,  185.45,    6.51,  367.19,    9.72,2132419586,  376.91,    849.60,    477.64,   1327.24
  103.34,  161.60,  378.00,  304.92,  481.34,  466.52,2134903001,  947.86,  181.84,    3.09,  186.10,    6.42,  367.94,    9.51,2134860058,  377.45,    849.28,    476.03,   1325.31
  113.86,  172.86,  408.07,  325.58,  521.93,  498.44,2132751092, 1020.37,  216.32,   21.55,  217.85,   24.62,  434.17,   46.17,2132749534,  480.35,    956.10,    544.62,   1500.72
  103.58,  160.27,  377.24,  303.09,  480.82,  463.36,2132672279,  944.18,  187.27,    3.43,  192.35,    6.77,  379.63,   10.20,2132797460,  389.83,    860.45,    473.56,   1334.01
  103.77,  160.23,  378.03,  303.61,  481.81,  463.83,2134657418,  945.64,  180.92,    2.24,  185.11,    5.58,  366.03,    7.82,2134588701,  373.85,    847.84,    471.65,   1319.49
  103.04,  159.64,  376.30,  302.18,  479.33,  461.81,2132486695,  941.15,  179.11,    2.33,  182.84,    5.65,  361.95,    7.98,2132548637,  369.93,    841.28,    469.80,   1311.08
  102.82,  157.88,  375.18,  300.05,  477.99,  457.93,2132524498,  935.92,  178.51,    2.99,  182.48,    6.31,  360.98,    9.29,2132450157,  370.28,    838.98,    467.23,   1306.20
  103.21,  158.80,  376.94,  301.78,  480.15,  460.58,2134619456,  940.73,  180.49,    2.85,  184.33,    6.15,  364.82,    9.01,2134601218,  373.83,    844.98,    469.59,   1314.57
  102.93,  158.98,  375.93,  301.49,  478.86,  460.47,2132479921,  939.34,  178.29,    2.73,  182.32,    6.05,  360.61,    8.78,2132488251,  369.39,    839.47,    469.26,   1308.73
  103.11,  158.62,  375.96,  301.09,  479.07,  459.71,2134538054,  938.78,  177.62,    2.37,  180.77,    5.70,  358.39,    8.06,2134520550,  366.45,    837.46,    467.78,   1305.24
  102.43,  156.55,  374.78,  298.92,  477.21,  455.47,2132370530,  932.68,  176.69,    2.36,  179.74,    5.70,  356.43,    8.06,2132362010,  364.49,    833.64,    463.53,   1297.17
  102.68,  156.76,  375.50,  299.13,  478.18,  455.89,2134509753,  934.07,  176.51,    2.18,  179.71,    5.50,  356.22,    7.69,2134497691,  363.91,    834.40,    463.58,   1297.98
  112.87,  168.15,  405.23,  319.84,  518.11,  488.00,2132344713, 1006.10,  210.83,   21.44,  213.61,   24.73,  424.44,   46.17,2132461118,  470.61,    942.55,    534.17,   1476.71
  102.93,  157.98,  376.19,  300.57,  479.12,  458.55,2132659905,  937.67,  191.38,    4.44,  195.26,    7.73,  386.64,   12.17,2132671838,  398.80,    865.76,    470.72,   1336.48
  103.59,  157.77,  377.34,  300.46,  480.93,  458.23,2134755275,  939.16,  182.38,    3.02,  187.09,    6.38,  369.47,    9.39,2134693821,  378.87,    850.41,    467.62,   1318.03
